Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-01-16 15:17:55,"Afternoon Workout",53m,"Walking",1,0,0,0,300,"","",
2023-01-16 15:17:55,"Afternoon Workout",53m,"Pull Up",1,0,5,0,0,"",,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Pull Up",2,0,5,0,0,,,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Pull Up",3,0,5,0,0,,,10
2023-01-16 15:17:55,"Afternoon Workout",53m,"Pull Up (Assisted)",1,30.0,8,0,0,"",,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Pull Up (Assisted)",2,30.0,5,0,0,,,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Pendlay Row (Barbell)",1,45.0,8,0,0,"",,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Pendlay Row (Barbell)",2,65.0,12,0,0,,,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Pendlay Row (Barbell)",3,70.0,10,0,0,,,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Pendlay Row (Barbell)",4,74.99999999999999,8,0,0,,,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Pendlay Row (Barbell)",5,80.0,6,0,0,,,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Pendlay Row (Barbell)",6,85.0,8,0,0,,,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Seated Row (Cable)",1,60.0,12,0,0,"",,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Seated Row (Cable)",2,70.0,10,0,0,,,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Seated Row (Cable)",3,80.0,8,0,0,,,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Seated Row (Cable)",4,90.0,6,0,0,,,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Seated Row (Cable)",5,100.0,8,0,0,,,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Calf Press on Seated Leg Press",1,160.0,15,0,0,"",,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Calf Press on Seated Leg Press",2,160.0,15,0,0,,,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Calf Press on Seated Leg Press",3,160.0,15,0,0,,,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Incline Curl (Dumbbell)",1,20.0,8,0,0,"",,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Incline Curl (Dumbbell)",2,20.0,8,0,0,,,
2023-01-16 15:17:55,"Afternoon Workout",53m,"Incline Curl (Dumbbell)",3,20.0,8,0,0,,,
